seed,n,K,K_rhs,K_premise_met,generated,paired_permutation_max_abs,paired_threshold_mean_abs,calibration_targetA_targetB_lower,calibration_targetB_lower,escaped_lower,kde_bandwidth,bound_B,kde_normalized_analytic,target_tail,tv_proxy_lower,tv_proxy_upper,resolution_abs_delta,runtime_seconds
20261201,250,5990,5989.785207275402,True,128,0.0,2.3708059033567376e+17,0.036225867062107175,0.029427379270896448,1.0,1.0773696536695764e+18,12.0,True,2.0386675117424833e-29,1.0,1.0,0.0,13.668006896972656
20261202,250,5990,5989.785207275402,True,128,0.0,2.4135654441558134e+17,0.058362949959364974,0.07337190256711934,1.0,1.0967989601202264e+18,12.0,True,2.0386675117424833e-29,1.0,1.0,0.0,9.576449394226074
20261203,250,5990,5989.785207275402,True,128,0.0,59437347.49647939,0.031999565267099905,0.03257820568594838,1.0,270102269.48348737,12.0,True,2.0386675117424833e-29,0.9999999792500721,0.9999999792500721,2.864375403532904e-14,9.42173981666565
