seed,d,n,bandwidth,score_mse
20260803,2,500,0.35495366597555705,0.3803902559199067
20260803,2,1000,0.31622776601683794,0.3500334785688878
20260803,2,2000,0.28172691138478406,0.15469172424661803
20260803,4,500,0.45986329782677027,0.6629493305306736
20260803,4,1000,0.4216965034285822,0.5633044632590798
20260803,4,2000,0.38669739864928243,0.5213580948635781
20260803,6,500,0.5371591767636877,0.6670783214703192
20260803,6,1000,0.5011872336272722,0.7324037047994048
20260803,6,2000,0.46762422391131064,0.7498657063816636
