seed,d,n,bandwidth,score_mse
20260802,2,500,0.35495366597555705,0.34353132312843593
20260802,2,1000,0.31622776601683794,0.409177956805314
20260802,2,2000,0.28172691138478406,0.21502144226929856
20260802,4,500,0.45986329782677027,0.5914214708818305
20260802,4,1000,0.4216965034285822,0.5389858840403797
20260802,4,2000,0.38669739864928243,0.5565419445471064
20260802,6,500,0.5371591767636877,0.8012767007859497
20260802,6,1000,0.5011872336272722,0.6848990993092613
20260802,6,2000,0.46762422391131064,0.7085532096924524
