seed,N,d,M,k,generated_samples,sliced_w1,target_split_sliced_w1,ratio_to_mc_floor,seconds,wrong_bases,backend,device,classification
20260911,6250,48,128,3,128,526.44580078125,0.08745381236076355,6019.700989244028,3.495382308959961,False,numpy-float32-streaming CPU,local CPU,reduced end-to-end toy
20260911,12500,48,128,3,128,801.0875244140625,0.07097353041172028,11287.1308467667,4.917640924453735,False,numpy-float32-streaming CPU,local CPU,reduced end-to-end toy
20260911,25000,48,128,3,128,1204.8651123046875,0.07940391451120377,15173.8754911722,7.374424457550049,False,numpy-float32-streaming CPU,local CPU,reduced end-to-end toy
20260911,50000,48,128,3,128,1792.614990234375,0.07089585065841675,25285.189099026007,12.576067924499512,False,numpy-float32-streaming CPU,local CPU,non-toy full-paper d/M/k/N cell
20260912,50000,48,128,3,128,1843.828857421875,0.08395887166261673,21961.096199948726,12.510404586791992,False,numpy-float32-streaming CPU,local CPU,non-toy full-paper d/M/k/N cell
20260913,50000,48,128,3,128,1817.9246826171875,0.07527601718902588,24150.117799832453,12.948002815246582,False,numpy-float32-streaming CPU,local CPU,non-toy full-paper d/M/k/N cell
20260911,50000,48,128,3,128,78.41400909423828,0.07089585065841675,1106.0451121751084,3.052086353302002,False,numpy-float32-streaming CPU,local CPU,non-toy full-paper d/M/k/N cell
20260911,50000,48,128,3,128,10312.525390625,0.07089585065841675,145460.2109270368,50.47256636619568,False,numpy-float32-streaming CPU,local CPU,non-toy full-paper d/M/k/N cell
20260911,50000,48,128,3,128,1790.777587890625,0.07089585065841675,25259.272175444643,12.228610277175903,True,numpy-float32-streaming CPU,local CPU,non-toy full-paper d/M/k/N cell
