seed,d,n,bandwidth,score_mse
20260801,2,500,0.35495366597555705,0.37342246993944594
20260801,2,1000,0.31622776601683794,0.20989799647483767
20260801,2,2000,0.28172691138478406,0.2604712520318429
20260801,4,500,0.45986329782677027,0.6546116197708141
20260801,4,1000,0.4216965034285822,0.5688357704151644
20260801,4,2000,0.38669739864928243,0.6384064801965377
20260801,6,500,0.5371591767636877,0.67168785771581
20260801,6,1000,0.5011872336272722,0.7100880482707487
20260801,6,2000,0.46762422391131064,0.7775650247426255
