seed,control,d,M,k,N,eval,t,mse,mse_se,min_component_count,exact_recovery_condition
171,exact_recovered_bases,6,3,2,1800,600,0.6,0.025693050529218033,0.006818098722338659,575,True
171,cyclic_wrong_bases,6,3,2,1800,600,0.6,0.75597154784768,0.02559467390600647,575,False
172,exact_recovered_bases,6,3,2,1800,600,0.6,0.01977288530028389,0.0057845858462014016,584,True
172,cyclic_wrong_bases,6,3,2,1800,600,0.6,0.7550924559701248,0.026896008911053277,584,False
173,exact_recovered_bases,6,3,2,1800,600,0.6,0.00781261875650226,0.002718694205355772,571,True
173,cyclic_wrong_bases,6,3,2,1800,600,0.6,0.6880683553600805,0.023486058113718136,571,False
